Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-04 13:00:00,4.27,4.36,4.21,4.36,32,49
2024-04-04 14:00:00,4.3,4.32,4.29,4.3,9,49
2024-04-04 15:00:00,4.4,4.4,4.19,4.2,10,49
2024-04-04 16:00:00,4.09,4.09,4.09,4.09,10,49
2024-04-04 17:00:00,4.28,4.44,4.28,4.44,13,49
2024-04-04 18:00:00,4.58,6.48,4.58,6.22,43,49
2024-04-04 19:00:00,7.67,8.2,7.67,7.83,6,49
2024-04-05 13:00:00,7.38,7.5,7.38,7.5,2,48
2024-04-05 14:00:00,6.92,7.03,6.86,6.86,29,48
2024-04-05 15:00:00,6.29,6.78,5.97,5.97,40,48
2024-04-05 16:00:00,5.61,5.8,5.6,5.8,31,48
2024-04-05 17:00:00,5.65,6.26,5.65,6.26,3,48
2024-04-05 18:00:00,6.76,6.76,6.14,6.14,2,48
2024-04-05 19:00:00,6.49,6.49,6.49,6.49,5,48
2024-04-08 13:00:00,5.72,6.01,5.72,5.78,7,45
2024-04-08 14:00:00,5.8,5.83,5.3,5.33,43,45
2024-04-08 15:00:00,5.42,5.7,5.42,5.7,6,45
2024-04-08 16:00:00,5.69,5.73,5.69,5.73,11,45
2024-04-08 17:00:00,5.58,5.58,5.58,5.58,1,45
2024-04-08 18:00:00,5.44,5.49,5.4,5.49,10,45
2024-04-08 19:00:00,5.4,5.4,5.3,5.3,9,45
2024-04-09 13:00:00,5.11,5.39,5.11,5.39,5,44
2024-04-09 14:00:00,5.56,7.25,5.56,7.25,26,44
2024-04-09 15:00:00,6.72,6.72,6.21,6.22,363,44
2024-04-09 16:00:00,6.08,6.31,5.91,6.31,370,44
2024-04-09 18:00:00,6.08,6.21,6.05,6.13,25,44
2024-04-09 19:00:00,6.5,6.5,5.39,5.39,3,44
2024-04-10 13:00:00,7.5,7.6,7.21,7.21,41,43
2024-04-10 14:00:00,7.3,7.3,6.37,6.78,41,43
2024-04-10 15:00:00,7.13,7.13,7.13,7.13,6,43
2024-04-10 16:00:00,7.11,7.11,7.11,7.11,1,43
2024-04-10 17:00:00,7.89,7.89,6.6,7.57,191,43
2024-04-10 18:00:00,7.32,7.33,7.11,7.12,195,43
2024-04-10 19:00:00,7.71,7.71,6.76,6.76,8,43
