Date,Open,High,Low,Close,Adj Close,Volume
2024-04-05,514.46,520.44,514.01,518.43,518.43,74482100
2024-04-08,519.15,520.18,517.89,518.72,518.72,48401800
2024-04-09,520.5,520.75,514.35,519.32,519.32,68124400
2024-04-10,513.48,516.16,512.09,514.12,514.12,82652800
2024-04-11,515.68,519.48,512.08,518.0,518.0,70099000
2024-04-12,514.37,515.82,509.08,510.85,510.85,92469100
2024-04-15,515.13,515.3,503.58,504.45,504.45,92101400
2024-04-16,504.94,506.5,502.21,503.53,503.53,73484000
2024-04-17,506.05,506.22,499.12,500.55,500.55,75910300
2024-04-18,501.98,504.13,498.56,499.52,499.52,74548100
2024-04-19,499.44,500.46,493.86,495.16,495.16,102129100
2024-04-22,497.83,502.38,495.43,499.72,499.72,67961000
2024-04-23,501.78,506.09,499.53,505.65,505.65,64633600
2024-04-24,506.56,507.37,503.13,505.41,505.41,55928100
2024-04-25,499.18,504.27,497.49,503.49,503.49,69122400
2024-04-26,506.35,509.88,505.7,508.26,508.26,64306100
2024-04-29,510.09,510.75,507.25,510.06,510.06,46415400
2024-04-30,508.56,509.56,501.98,501.98,501.98,77483600
2024-05-01,501.38,508.19,499.87,500.35,500.35,80242800
2024-05-02,504.15,505.89,499.55,505.03,505.03,62550200
2024-05-03,511.16,512.55,508.56,511.29,511.29,72529927
